,speccode,english_name,prev_status
0,0,grey partridge,
1,1,lapwing,
2,2,grasshopper warbler,
3,3,ptarmigan,g
4,4,whimbrel,
5,5,house martin,a
6,6,capercaillie,
7,7,curlew,
8,8,wood warbler,
9,9,black grouse,
10,10,black-tailed godwit,
11,11,starling,
12,12,bewick's swan,a
13,13,ruff,
14,14,mistle thrush,
15,15,white-fronted goose,
16,16,dunlin,a
17,17,fieldfare,
18,18,long-tailed duck,
19,19,purple sandpiper,a
20,20,ring ouzel,
21,21,velvet scoter,
22,22,woodcock,
23,23,spotted flycatcher,
24,24,common scoter,
25,25,red-necked phalarope,
26,26,nightingale,
27,27,goldeneye,a
28,28,kittiwake,
29,29,whinchat,
30,30,smew,a
31,31,herring gull,
32,32,house sparrow,
33,33,pochard,
34,34,roseate tern,
35,35,tree sparrow,
36,36,scaup,
37,37,arctic skua,
38,38,tree pipit,
39,39,red-necked grebe,
40,40,puffin,
41,41,yellow wagtail,
42,42,slavonian grebe,
43,43,hen harrier,
44,44,hawfinch,
45,45,turtle dove,
46,46,montagu’s harrier,a
47,47,greenfinch,g
48,48,swift,a
49,49,lesser spotted woodpecker,
50,50,twite,
51,51,cuckoo,
52,52,merlin,
53,53,linnet,
54,54,corncrake,
55,55,red-backed shrike,
56,56,redpoll,
57,57,leach's storm-petrel,a
58,58,marsh tit,
59,59,corn bunting,
60,60,balearic shearwater,
61,61,willow tit,
62,62,cirl bunting,
63,63,shag,
64,64,skylark,
65,65,yellowhammer,
66,66,dotterel,
67,67,marsh warbler,
68,68,ringed plover,
69,69,savi's warbler,
