speccode,english_name,status
131,grey partridge,r
171,lapwing,r
384,grasshopper warbler,r
126,ptarmigan,r
202,whimbrel,r
325,house martin,r
128,capercaillie,r
203,curlew,r
421,wood warbler,r
127,black grouse,r
197,black-tailed godwit,r
457,starling,r
47,bewick's swan,r
190,ruff,r
378,mistle thrush,r
51,white-fronted goose,r
186,dunlin,r
375,fieldfare,r
85,long-tailed duck,r
185,purple sandpiper,r
370,ring ouzel,r
88,velvet scoter,r
196,woodcock,r
426,spotted flycatcher,r
86,common scoter,r
219,red-necked phalarope,r
347,nightingale,r
91,goldeneye,r
242,kittiwake,r
354,whinchat,r
93,smew,r
237,herring gull,r
459,house sparrow,r
76,pochard,r
249,roseate tern,r
461,tree sparrow,r
80,scaup,r
222,arctic skua,r
330,tree pipit,r
8,red-necked grebe,r
266,puffin,r
334,yellow wagtail,r
9,slavonian grebe,r
105,hen harrier,r
485,hawfinch,r
272,turtle dove,r
107,montagu’s harrier,r
470,greenfinch,r
295,swift,r
311,lesser spotted woodpecker,r
474,twite,r
276,cuckoo,r
119,merlin,r
473,linnet,r
141,corncrake,r
445,red-backed shrike,r
1079,lesser redpoll,r
23,leach's storm-petrel,r
432,marsh tit,r
528,corn bunting,r
1008,balearic shearwater,r
433,willow tit,r
515,cirl bunting,r
27,shag,r
319,skylark,r
514,yellowhammer,r
166,dotterel,r
392,marsh warbler,r
160,ringed plover,r
386,savi's warbler,r
132,quail,a
155,stone-curlew,a
285,tawny owl,a
48,whooper swan,a
152,oystercatcher,a
114,osprey,a
57,brent goose,a
154,avocet,a
97,honey-buzzard,a
56,barnacle goose,a
153,black-winged stilt,a
104,marsh harrier,a
53,greylag goose,a
168,grey plover,a
109,sparrowhawk,a
49,bean goose,a
199,bar-tailed godwit,a
100,white-tailed eagle,a
50,pink-footed goose,a
217,turnstone,a
116,kestrel,a
81,eider,a
172,knot,a
454,rook,a
94,red-breasted merganser,a
184,curlew sandpiper,a
320,shorelark,a
61,shelduck,a
173,sanderling,a
389,sedge warbler,a
72,garganey,a
192,snipe,a
417,yellow-browed warbler,a
74,shoveler,a
215,common sandpiper,a
423,willow warbler,a
66,gadwall,a
212,green sandpiper,a
410,common whitethroat,a
64,wigeon,a
205,spotted redshank,a
401,dartford warbler,a
69,mallard,a
208,greenshank,a
441,short-toed treecreeper,a
71,pintail,a
206,redshank,a
340,wren,a
68,teal,a
213,wood sandpiper,a
339,dipper,a
10,black-necked grebe,a
232,black-headed gull,a
376,song thrush,a
269,stock dove,a
226,mediterranean gull,a
377,redwing,a
270,woodpigeon,a
235,common gull,a
429,pied flycatcher,a
289,nightjar,a
236,lesser black-backed gull,a
352,black redstart,a
137,spotted crake,a
1282,yellow-legged gull,a
353,common redstart,a
142,moorhen,a
1283,caspian gull,a
357,wheatear,a
147,crane,a
238,iceland gull,a
342,dunnock,a
2,black-throated diver,a
239,glaucous gull,a
332,meadow pipit,a
3,great northern diver,a
240,great black-backed gull,a
901,water pipit,a
22,european storm-petrel,a
256,little tern,a
336,grey wagtail,a
12,northern fulmar,a
250,common tern,a
484,bullfinch,a
18,manx shearwater,a
251,arctic tern,a
480,parrot crossbill,a
44,spoonbill,a
248,sandwich tern,a
479,scottish crossbill,a
30,bittern,a
224,great skua,a
511,lapland bunting,a
32,little bittern,a
264,black guillemot,a
512,snow bunting,a
36,cattle egret,a
262,razorbill,a
524,reed bunting,a
38,great white egret,a
260,guillemot,a
