speccode,english_name_spec,scientific_name,status
1,red-throated diver,gavia stellata,g
2,black-throated diver,gavia arctica,a
3,great northern diver,gavia immer,a
4,white-billed diver,gavia adamsii,g
5,pied-billed grebe,podilymbus podiceps,g
6,little grebe,tachybaptus ruficollis,g
7,great crested grebe,podiceps cristatus,g
8,red-necked grebe,podiceps grisegena,r
9,slavonian grebe,podiceps auritus,r
10,black-necked grebe,podiceps nigricollis,a
11,black-browed albatross,thalassarche melanophris,g
12,fulmar,fulmarus glacialis,a
15,cory's shearwater,calonectris borealis,g
16,great shearwater,ardenna gravis,g
17,sooty shearwater,ardenna grisea,g
18,manx shearwater,puffinus puffinus,a
19,barolo shearwater,puffinus baroli,g
22,storm petrel,hydrobates pelagicus,a
23,leach's petrel,oceanodroma leucorhoa,r
25,gannet,morus bassanus,a
26,cormorant,phalacrocorax carbo,g
27,shag,phalacrocorax aristotelis,r
28,great white pelican,pelecanus onocrotalus,g
30,bittern,botaurus stellaris,a
31,american bittern,botaurus lentiginosus,g
32,little bittern,ixobrychus minutus,a
33,night heron,nycticorax nycticorax,g
34,green heron,butorides virescens,g
35,squacco heron,ardeola ralloides,g
36,cattle egret,bubulcus ibis,a
37,little egret,egretta garzetta,g
38,great white egret,ardea alba,a
39,grey heron,ardea cinerea,g
40,purple heron,ardea purpurea,g
42,white stork,ciconia ciconia,g
43,glossy ibis,plegadis falcinellus,g
44,spoonbill,platalea leucorodia,a
45,greater flamingo,phoenicopterus roseus,g
46,mute swan,cygnus olor,g
47,bewick's swan,cygnus columbianus,r
48,whooper swan,cygnus cygnus,a
50,pink-footed goose,anser brachyrhynchus,a
51,white-fronted goose,anser albifrons,r
52,lesser white-fronted goose,anser erythropus,g
53,greylag goose,anser anser,a
54,snow goose,anser caerulescens,g
55,canada goose,branta canadensis,g
56,barnacle goose,branta leucopsis,a
57,brent goose,branta bernicla,a
58,red-breasted goose,branta ruficollis,g
59,egyptian goose,alopochen aegyptiaca,g
60,ruddy shelduck,tadorna ferruginea,g
61,shelduck,tadorna tadorna,a
62,wood duck,aix sponsa,g
63,mandarin duck,aix galericulata,g
64,wigeon,mareca penelope,a
65,american wigeon,mareca americana,g
66,gadwall,mareca strepera,a
67,baikal teal,sibirionetta formosa,g
68,teal,anas crecca,a
69,mallard,anas platyrhynchos,a
70,american black duck,anas rubripes,g
71,pintail,anas acuta,a
72,garganey,spatula querquedula,a
73,blue-winged teal,spatula discors,g
74,shoveler,spatula clypeata,a
75,red-crested pochard,netta rufina,g
76,pochard,aythya ferina,r
77,ring-necked duck,aythya collaris,g
78,ferruginous duck,aythya nyroca,g
79,tufted duck,aythya fuligula,g
80,scaup,aythya marila,r
81,eider,somateria mollissima,a
82,king eider,somateria spectabilis,g
83,steller's eider,polysticta stelleri,g
85,long-tailed duck,clangula hyemalis,r
86,common scoter,melanitta nigra,r
87,surf scoter,melanitta perspicillata,g
88,velvet scoter,melanitta fusca,r
90,barrow's goldeneye,bucephala islandica,g
91,goldeneye,bucephala clangula,r
92,hooded merganser,lophodytes cucullatus,g
93,smew,mergellus albellus,r
94,red-breasted merganser,mergus serrator,a
95,goosander,mergus merganser,g
96,ruddy duck,oxyura jamaicensis,g
97,honey-buzzard,pernis apivorus,a
98,black kite,milvus migrans,g
99,red kite,milvus milvus,g
100,white-tailed eagle,haliaeetus albicilla,a
104,marsh harrier,circus aeruginosus,a
105,hen harrier,circus cyaneus,r
106,pallid harrier,circus macrourus,g
107,montagu's harrier,circus pygargus,r
108,goshawk,accipiter gentilis,g
109,sparrowhawk,accipiter nisus,a
110,buzzard,buteo buteo,g
111,rough-legged buzzard,buteo lagopus,g
113,golden eagle,aquila chrysaetos,g
114,osprey,pandion haliaetus,a
116,kestrel,falco tinnunculus,a
117,american kestrel,falco sparverius,g
118,red-footed falcon,falco vespertinus,g
119,merlin,falco columbarius,r
120,hobby,falco subbuteo,g
122,saker falcon,falco cherrug,g
123,gyrfalcon,falco rusticolus,g
124,peregrine,falco peregrinus,g
125,red grouse,lagopus lagopus,g
126,ptarmigan,lagopus muta,r
127,black grouse,lyrurus tetrix,r
128,capercaillie,tetrao urogallus,r
129,northern bobwhite,colinus virginianus,g
130,red-legged partridge,alectoris rufa,g
131,grey partridge,perdix perdix,r
132,quail,coturnix coturnix,a
133,pheasant,phasianus colchicus,g
134,golden pheasant,chrysolophus pictus,g
135,lady amherst's pheasant,chrysolophus amherstiae,g
136,water rail,rallus aquaticus,g
137,spotted crake,porzana porzana,a
139,little crake,porzana parva,g
141,corncrake,crex crex,r
142,moorhen,gallinula chloropus,a
145,coot,fulica atra,g
146,american coot,fulica americana,g
147,crane,grus grus,a
151,great bustard,otis tarda,b
152,oystercatcher,haematopus ostralegus,a
153,black-winged stilt,himantopus himantopus,a
154,avocet,recurvirostra avosetta,a
155,stone-curlew,burhinus oedicnemus,a
159,little ringed plover,charadrius dubius,g
160,ringed plover,charadrius hiaticula,r
162,killdeer,charadrius vociferus,g
163,kentish plover,charadrius alexandrinus,b
166,dotterel,charadrius morinellus,r
167,golden plover,pluvialis apricaria,g
168,grey plover,pluvialis squatarola,a
169,sociable lapwing,vanellus gregarius,g
171,lapwing,vanellus vanellus,r
172,knot,calidris canutus,a
173,sanderling,calidris alba,a
174,semipalmated sandpiper,calidris pusilla,g
176,little stint,calidris minuta,g
177,temminck's stint,calidris temminckii,b
180,white-rumped sandpiper,calidris fuscicollis,g
181,baird's sandpiper,calidris bairdii,g
182,pectoral sandpiper,calidris melanotos,g
184,curlew sandpiper,calidris ferruginea,a
185,purple sandpiper,calidris maritima,r
186,dunlin,calidris alpina,r
189,buff-breasted sandpiper,calidris subruficollis,g
190,ruff,calidris pugnax,r
191,jack snipe,lymnocryptes minimus,g
192,snipe,gallinago gallinago,a
195,long-billed dowitcher,limnodromus scolopaceus,g
196,woodcock,scolopax rusticola,r
197,black-tailed godwit,limosa limosa,r
198,hudsonian godwit,limosa haemastica,g
199,bar-tailed godwit,limosa lapponica,a
202,whimbrel,numenius phaeopus,r
203,curlew,numenius arquata,r
204,upland sandpiper,bartramia longicauda,g
205,spotted redshank,tringa erythropus,a
206,redshank,tringa totanus,a
208,greenshank,tringa nebularia,a
209,greater yellowlegs,tringa melanoleuca,g
210,lesser yellowlegs,tringa flavipes,g
212,green sandpiper,tringa ochropus,a
213,wood sandpiper,tringa glareola,a
215,common sandpiper,actitis hypoleucos,a
216,spotted sandpiper,actitis macularius,g
217,turnstone,arenaria interpres,a
218,wilson's phalarope,phalaropus tricolor,g
219,red-necked phalarope,phalaropus lobatus,r
220,grey phalarope,phalaropus fulicarius,g
221,pomarine skua,stercorarius pomarinus,g
222,arctic skua,stercorarius parasiticus,r
223,long-tailed skua,stercorarius longicaudus,g
224,great skua,stercorarius skua,a
226,mediterranean gull,ichthyaetus melanocephalus,a
227,laughing gull,leucophaeus atricilla,g
228,franklin's gull,leucophaeus pipixcan,g
229,little gull,hydrocoloeus minutus,g
230,sabine's gull,xema sabini,g
231,bonaparte's gull,chroicocephalus philadelphia,g
232,black-headed gull,chroicocephalus ridibundus,a
234,ring-billed gull,larus delawarensis,g
235,common gull,larus canus,a
